Random,Ascending,Descending,V-shaped
2,0,4,2
3,0,6,3
5,0,8,4
6,0,12,6
8,0,15,8
11,0,20,10
13,0,25,12
16,0,30,15
19,0,36,18
22,0,42,21
26,0,50,25
29,0,57,29
34,0,66,33
38,0,74,37
45,0,83,42
50,0,92,46
53,0,104,52
61,0,113,57
65,0,128,63
75,0,137,68
79,0,152,74
86,0,162,81
108,0,181,88
103,0,190,95
107,0,208,103
116,0,220,115
123,0,244,121
133,0,265,131
147,0,273,136
151,0,294,145
158,0,308,152
170,0,332,164
184,0,344,173
194,0,377,187
198,0,389,190
209,0,409,203
220,0,422,214
230,0,444,225
243,0,467,232
253,0,493,244
272,0,540,262
281,0,553,272
299,0,558,279
305,0,592,298
324,0,626,316
327,0,666,330
355,0,677,339
354,0,705,359
371,0,732,365
399,0,829,439
442,0,828,412
452,0,895,443
451,0,919,431
602,0,1347,553
618,0,1158,871
786,1,1358,678
712,1,1346,630
712,1,1646,793
865,1,1462,696
882,1,1402,886
737,0,1419,740
713,1,1473,646
693,0,1348,668
752,0,1434,792
841,1,1556,818
842,1,1694,840
