Right, Middle, Random
0,0,0
9,15,6
21,45,13
36,89,21
51,125,27
61,159,34
73,222,46
91,267,51
113,330,56
124,367,65
135,435,73
157,544,80
175,577,84
189,647,94
195,714,100
212,819,114
241,878,127
259,983,144
300,1107,144
274,1123,138
302,1250,145
314,1313,154
334,1392,170
383,1501,179
377,1587,184
373,1658,182
418,1834,198
419,1938,207
442,1961,203
467,2153,224
494,2276,225
503,2325,231
523,2425,250
587,2631,244
589,2621,252
584,2911,279
695,2946,285
648,3093,284
600,3150,285
664,3268,295
684,3463,331
706,3554,314
730,3649,323
743,4046,352
823,4066,337
790,4221,345
837,4232,362
834,4363,367
903,4492,370
858,4716,383
