Random,Ascending,Descending,V-shaped
2,2,2,2
3,3,3,3
4,4,4,4
6,5,6,6
8,7,8,7
10,9,9,10
12,11,12,12
15,14,14,14
18,17,17,17
21,20,20,20
24,23,24,23
28,26,28,27
32,32,32,31
36,35,37,35
40,39,42,40
46,43,46,45
51,51,52,50
56,58,57,56
62,58,61,60
67,64,67,67
73,71,74,73
80,78,82,77
86,84,87,85
94,93,95,93
101,100,103,102
111,105,111,109
118,114,121,119
126,121,126,123
131,124,129,128
140,135,138,138
147,142,146,143
160,149,155,153
164,165,164,162
172,168,176,172
184,177,197,182
196,187,192,190
204,196,204,200
212,208,213,209
224,216,226,220
234,231,236,234
245,239,245,242
257,247,259,253
276,265,274,270
286,278,287,277
298,283,294,294
313,301,307,303
328,310,329,317
333,329,341,328
343,331,353,343
362,349,363,368
375,372,373,367
424,404,414,386
404,406,411,401
417,413,436,421
429,416,457,428
454,443,458,445
473,456,467,468
521,485,518,521
510,517,532,511
545,547,562,553
583,544,570,559
590,573,591,565
590,603,612,611
691,640,619,619
634,617,653,689
754,688,693,704
